can_number,pieces_trash,pieces_recycle,pieces_compost,weight_trash_lbs,weight_recycle_lbs,weight_compost_lbs,original_stream,month
1,35,8,37,1.4,0,1.2,trash,February
2,16,6,52,4.8,0,3,trash,February
3,36,0,52,1.2,0,2.6,trash,February
4,21,27,21,1,1.6,5,trash,February
5,13,7,10,1,0,0.8,trash,February
6,30,3,30,2,0.6,3.6,trash,February
7,25,17,11,1,1,0.6,recycling,February
8,43,14,66,1.6,1.2,7.2,recycling,February
9,25,3,34,0.6,4,0.4,compost,February
10,5,2,10,0.1,0,1.4,compost,February
11,23,4,38,1,0.4,3.2,trash,February
12,20,0,14,0.6,0,0.6,trash,February
13,23,4,30,1,0,5.4,trash,February
14,19,2,10,1.2,0,1.6,trash,February
15,49,8,51,2.4,0,5.2,trash,February
16,3,3,7,0.6,0.4,0.2,trash,February
17,5,7,8,0.2,0.4,0.2,trash,February
18,7,2,9,0.2,0,0.4,recycling,February
19,2,3,4,0.2,0.2,0.2,recycling,February
20,5,0,5,0.6,0,0,compost,February
21,6,0,13,0.2,0,0.8,compost,February
22,18,2,14,0.4,0,0.8,trash,February
23,8,5,20,0.4,0.4,1.6,trash,February
24,17,1,53,0.8,0.2,3.2,trash,February
25,28,0,51,0.2,0,2,compost,February
26,10,1,66,0.8,0,3,compost,February
27,9,4,25,0.6,0.2,1.6,trash,February
28,21,1,106,1,0,6.4,trash,February
29,18,1,52,0.6,0.4,5.6,trash,February
30,43,19,41,1.2,0.2,1.4,recycling,February
31,20,20,14,0.2,0.2,1.8,compost,February
32,108,19,208,2,0.6,16.8,trash,February
33,12,2,33,0.2,0.2,2,compost,February
34,16,23,8,0.8,0.8,0.4,recycling,February
35,169,9,201,2.4,0.4,20.6,trash,February
36,47,27,17,3.2,1.8,0.8,recycling,February
37,5,1,13,0.2,0.2,0.4,compost,February
38,25,2,59,0.8,0,6.8,trash,February
39,24,1,40,0.8,0,3.6,trash,February
40,14,2,21,0.6,0,2.2,trash,February
41,59,3,50,2,0,3.4,trash,February
42,11,1,23,0.2,0,1.8,compost,February
43,21,0,12,0.4,0,0.4,compost,February
44,4,1,8,0.2,0.2,0.5,compost,February
45,25,15,25,0.6,0.4,4.6,trash,April
46,24,13,31,0.8,0.4,1.4,trash,April
47,68,35,59,2.4,1,6,trash,April
48,20,15,12,1.6,2.2,1,recycling,April
49,11,6,10,1,0,1.2,compost,April
50,30,7,32,0.6,0.4,1.8,trash,April
51,10,8,16,0,0.4,1.4,trash,April
52,16,14,2,0.2,0.8,0.2,recycling,April
53,17,7,24,1,0.6,3.2,compost,April
54,7,14,4,0.4,0.6,1,trash,April
55,28,13,33,1.2,0.6,5.2,trash,April
56,35,5,48,0.8,0.2,3.2,compost,April
57,20,15,23,0.4,1,2.6,compost,April
58,31,7,32,1,0.4,4.4,trash,April
59,53,11,66,1.6,0.6,5.2,trash,April
60,182,40,189,2.6,1.6,2.8,trash,April
61,27,56,37,2.2,10,0.6,recycling,April
62,18,4,35,0.6,0.4,9,compost,April
63,117,61,133,5,1.8,20,trash,April
64,7,3,20,0.2,0.6,2,compost,April
65,34,125,26,3.4,8.2,0.8,recycling,April
66,68,43,137,2.8,1.4,17,trash,April
67,32,41,19,1.6,2.8,0.6,recycling,April
68,23,6,40,2.6,0.6,4.4,compost,April
69,7,1,6,0.2,0,0.6,trash,April
70,10,25,37,0,0.4,4.2,trash,April
71,24,59,10,1.4,3.4,0.2,recycling,April
72,37,7,37,3.6,0.2,7.6,trash,April
73,17,48,11,1.6,2.6,0.4,recycling,April
74,9,8,32,1.6,3.8,5.2,compost,April
75,1,0,5,0,0,0.4,compost,April
76,5,4,0,0.2,0.2,0,compost,April
77,5,3,9,0.2,1.2,4.2,compost,April