can_number,pieces_trash,pieces_recycle,pieces_compost,weight_trash_lbs,weight_recycle_lbs,weight_compost_lbs,original_stream,time_collected,big_belly_compactor,plaza_top,plaza_bottom,zwelis,loop
2,25,15,25,0.6,0.4,4.6,trash,15:08 4/11/22,F,F,F,F,T
3,24,13,31,0.8,0.4,1.4,trash,15:12 4/11/22,F,F,F,F,T
4,68,35,59,2.4,1,6,trash,15:04 4/11/22,F,F,F,F,T
8,20,15,12,1.6,2.2,1,recycling,12:40 4/12/22,F,F,F,F,T
10,11,6,10,1,0,1.2,compost,12:40 4/12/22,F,F,F,F,T
14,30,7,32,0.6,0.4,1.8,trash,12:45 4/12/22,F,F,F,F,T
15,10,8,16,0,0.4,1.4,trash,12:40 4/12/22,F,F,F,F,T
18,16,14,2,0.2,0.8,0.2,recycling,12:45 4/12/22,F,F,F,F,T
20,17,7,24,1,0.6,3.2,compost,12:45 4/12/22,F,F,F,F,T
23,7,14,4,0.4,0.6,1,trash,14:15 4/11/22,F,F,F,T,F
24,28,13,33,1.2,0.6,5.2,trash,14:15 4/11/22,F,F,F,T,F
25,35,5,48,0.8,0.2,3.2,compost,14:17 4/11/22,F,F,F,T,F
26,20,15,23,0.4,1,2.6,compost,14:17 4/11/22,F,F,F,T,F
27,31,7,32,1,0.4,4.4,trash,14:18 4/11/22,F,F,F,T,F
28,53,11,66,1.6,0.6,5.2,trash,14:18 4/11/22,F,F,F,T,F
29,182,40,189,2.6,1.6,2.8,trash,13:00 4/12/22,T,F,T,F,F
30,27,56,37,2.2,10,0.6,recycling,13:00 4/12/23,T,F,T,F,F
31,18,4,35,0.6,0.4,9,compost,13:00 4/12/24,F,F,T,F,F
32,117,61,133,5,1.8,20,trash,13:00 4/12/25,T,T,F,F,F
33,7,3,20,0.2,0.6,2,compost,12:52 4/12/22,F,T,F,F,F
34,34,125,26,3.4,8.2,0.8,recycling,13:00 4/12/25,T,T,F,F,F
35,68,43,137,2.8,1.4,17,trash,13:00 4/12/25,T,T,F,F,F
36,32,41,19,1.6,2.8,0.6,recycling,13:00 4/12/25,T,T,F,F,F
37,23,6,40,2.6,0.6,4.4,compost,12:40 4/12/22,F,T,F,F,F
39,7,1,6,0.2,0,0.6,trash,13:00 4/12/22,F,F,T,F,F
41,10,25,37,0,0.4,4.2,trash,13:00 4/12/23,T,T,F,F,F
42,24,59,10,1.4,3.4,0.2,recycling,13:00 4/12/24,T,T,F,F,F
43,37,7,37,3.6,0.2,7.6,trash,13:00 4/12/25,T,T,F,F,F
44,17,48,11,1.6,2.6,0.4,recycling,13:00 4/12/25,T,T,F,F,F
45,9,8,32,1.6,3.8,5.2,compost,12:53 4/12/22,F,T,F,F,F
47,1,0,5,0,0,0.4,compost,12:53 4/12/22,F,T,F,F,F
48,5,4,0,0.2,0.2,0,compost,12:53 4/12/22,F,T,F,F,F
49,5,3,9,0.2,1.2,4.2,compost,12:53 4/12/22,F,T,F,F,F